acao;cotacao;rendimento;risco;cotacao_por_rendimento;razaoSocial;setor;segmento;administrador
"BLMR11";"7,78";"0,08";"";"0,010282776349614395";"BLUEMACAW RENDA+ FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO";"Cotas";"FII";"BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A."
"SADI11";"88,56";"0,80";"";"0,009033423667570008";"SANTANDER PAPÉIS IMOBILIÁRIOS CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO";"Ativos Financeiros";"CRI";"SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A"
"HSAF11";"94,84";"1,10";"";"0,01159848165331084";"HSI ATIVOS FINANCEIROS - FUNDO DE INVESTIMENTO IMOBILIÁRIO";"Ativos Financeiros, Cotas";"CRI, FII";"BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A."
"FEXC11";"87,01";"0,93";"";"0,010688426617630158";"FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE CRI";"Ativos Financeiros";"CRI";"BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM"
"HGFF11";"73,22";"0,58";"";"0,007921332969134116";"CSHG IMOBILIÁRIO FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII";"Cotas";"FII";"CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A."
"SDIL11";"84,28";"0,76";"";"0,009017560512577124";"FUNDO DE INVESTIMENTO IMOBILIARIO SDI RIO BRAVO RENDA LOGÍSTICA - FII";"Imóvel";"Logística";"RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA"
"HSLG11";"90,18";"0,63";"";"0,006986027944111776";"HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO";"Imóvel";"Logística";"BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A."
"BTCR11";"92,08";"0,91";"";"0,009882710686359687";"FUNDO DE INVESTIMENTO IMOBILIARIO - BTG PACTUAL CREDITO IMOBILIARIO";"Ativos Financeiros";"CRI";"BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM"
"HGBS11";"170,50";"1,15";"";"0,006744868035190615";"HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO";"Imóvel";"Shopping Center";"HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
"VINO11";"48,87";"0,34";"";"0,006957233476570494";"VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO";"Imóvel";"Escritório Comercial";"BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A."
"RCRB11";"130,13";"0,55";"";"0,00422654268808115";"FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA";"Imóvel";"Escritório Comercial";"RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA"
"KNHY11";"103,99";"1,30";"";"0,012501202038657564";"KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII";"Ativos Financeiros";"CRI";"INTRAG DTVM LTDA."
"RZAK11";"94,18";"1,32";"";"0,014015714589084731";"RIZA AKIN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII";"Ativos Financeiros";"CRI";"BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM"
"QAGR11";"49,72";"0,39";"";"0,007843925985518906";"QUASAR AGRO - FUNDO DE INVESTIMENTO IMOBILIARIO";"Imóvel";"Logística Agroindustrial";"BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM"
"VGIR11";"100,50";"0,92";"";"0,009154228855721393";"VALORA RE III FUNDO DE INVESTIMENTO IMOBILIARIO - FII";"Ativos Financeiros";"CRI";"BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM"
