acao;cotacao;rendimento;risco
"VGHF11";"10;13";"R$ 0;16";
"VISC11";"100;16";"R$ 0;68";
"KNCR11";"100;27";"R$ 0;82";"17"
"BRCO11";"100;27";"R$ 0;63";"20"
"VGIR11";"100;64";"R$ 0;92";
"LVBI11";"100;68";"R$ 0;71";"24"
"RECR11";"100;80";"R$ 1;46";"21"
"TRXF11";"101;15";"R$ 0;80";"16"
"VGIP11";"101;25";"R$ 1;65";
"CVBI11";"101;40";"R$ 1;12";"20"
"MCCI11";"101;40";"R$ 1;00";"19"
"DEVA11";"101;86";"R$ 1;35";
"RZTR11";"101;98";"R$ 1;25";"19"
"RBRR11";"102;05";"R$ 1;07";"20"
"VILG11";"102;12";"R$ 0;70";"25"
"AFHI11";"102;25";"R$ 1;30";
"KNIP11";"102;68";"R$ 1;36";"16"
"BARI11";"102;96";"R$ 1;10";
"KNHY11";"103;89";"R$ 1;30";
"VRTA11";"103;93";"R$ 1;24";"19"
"BTLG11";"105;39";"R$ 0;72";"21"
"HGCR11";"106;72";"R$ 1;03";"19"
"RBRY11";"106;78";"R$ 1;34";
"MFII11";"107;79";"R$ 1;18";
"HABT11";"108;14";"R$ 1;20";"18"
"BCRI11";"108;80";"R$ 1;25";"22"
"ARCT11";"108;91";"R$ 1;70";
"IRDM11";"110;22";"R$ 1;43";"14"
"GGRC11";"111;99";"R$ 0;87";"22"
"URPR11";"113;44";"R$ 1;63";
"HGRU11";"114;65";"R$ 0;76";"22"
"TGAR11";"114;98";"R$ 1;16";"18"
"ALZR11";"115;85";"R$ 0;75";"21"
"HCTR11";"122;82";"R$ 1;60";"18"
"RCRB11";"130;63";"R$ 0;55";
"HGRE11";"131;28";"R$ 0;69";
"KNRI11";"134;99";"R$ 0;81";"21"
"HGLG11";"168;27";"R$ 1;10";"21"
"BZLI11";"17;00";"-";
"HGBS11";"170;19";"R$ 1;15";
"XPCM11";"18;55";"R$ 0;15";"20"
"SPTW11";"44;34";"R$ 0;40";
"FIIB11";"457;00";"R$ 3;20";
"VINO11";"48;72";"R$ 0;34";
"QAGR11";"49;84";"R$ 0;39";
"RBFF11";"51;88";"R$ 0;47";
"FIGS11";"53;66";"R$ 0;37";
"XPPR11";"61;60";"R$ 0;45";"25"
"MGFF11";"62;19";"R$ 0;56";"23"
"BPFF11";"65;46";"R$ 0;60";
"RECT11";"68;93";"R$ 0;54";"19"
"SARE11";"69;00";"R$ 0;63";
"BRCR11";"69;35";"R$ 0;50";"19"
"KISU11";"7;70";"R$ 0;07";
"BLMR11";"7;79";"R$ 0;08";
"RBRP11";"70;36";"R$ 0;46";"24"
"CPFF11";"70;96";"R$ 0;61";
"BCFF11";"71;33";"R$ 0;54";"24"
"RBRF11";"72;54";"R$ 0;61";
"TEPP11";"73;00";"R$ 0;47";
"HGFF11";"73;23";"R$ 0;58";
"PATL11";"74;01";"R$ 0;58";"20"
"HFOF11";"75;25";"R$ 0;60";"20"
"HSML11";"75;88";"R$ 0;55";"25"
"XPSF11";"76;06";"R$ 0;65";"23"
"MORE11";"76;12";"R$ 0;70";
"AIEC11";"76;14";"R$ 0;61";
"KFOF11";"76;71";"R$ 0;63";
"JSRE11";"77;22";"R$ 0;53";"20"
"GTWR11";"79;85";"R$ 0;74";"17"
"RVBI11";"80;00";"R$ 0;75";
"VIFI11";"80;16";"R$ 0;66";
"SDIL11";"84;44";"R$ 0;76";
"SNFF11";"84;76";"R$ 0;65";
"BCIA11";"85;17";"R$ 0;64";
"XPIN11";"85;21";"R$ 0;63";"22"
"FEXC11";"86;51";"R$ 0;93";
"PVBI11";"87;29";"R$ 0;56";"18"
"PLCR11";"87;99";"R$ 1;05";
"VTLT11";"88;24";"R$ 0;83";
"RBRL11";"89;03";"R$ 0;85";
"SADI11";"89;46";"R$ 0;80";
"OUJP11";"89;80";"R$ 1;10";
"MXRF11";"9;36";"R$ 0;09";"15"
"TORD11";"9;49";"R$ 0;08";
"VSLH11";"9;52";"R$ 0;12";
"HSLG11";"90;19";"R$ 0;63";
"BBPO11";"90;23";"R$ 0;89";"20"
"EQIN11";"91;70";"R$ 0;93";
"BTCR11";"91;97";"R$ 0;91";
"PORD11";"92;89";"R$ 1;17";
"RZAK11";"94;12";"R$ 1;32";
"XPCI11";"94;36";"R$ 1;10";"20"
"HSAF11";"94;85";"R$ 1;10";
"BTAL11";"94;93";"R$ 0;83";
"XPML11";"95;90";"R$ 0;85";
"RBVA11";"96;21";"R$ 0;92";"20"
"VCJR11";"96;89";"R$ 1;25";
"XPLG11";"97;20";"R$ 0;64";"19"
"KNSC11";"97;24";"R$ 1;25";
"GALG11";"97;26";"R$ 0;84";
"CPTS11";"97;39";"R$ 1;10";"19"
"MALL11";"97;78";"R$ 0;72";
